instance_name,vertices,edges
1-FullIns_3,17,34
1-FullIns_4,37,122
1-FullIns_5,77,406
1-Insertions_4,67,232
1-Insertions_5,202,1227
1-Insertions_6,607,6337
2-FullIns_3,20,47
2-FullIns_4,44,167
2-FullIns_5,92,551
2-Insertions_3,37,72
2-Insertions_4,149,541
2-Insertions_5,597,3936
3-FullIns_3,23,64
3-FullIns_4,51,225
3-FullIns_5,107,736
3-Insertions_3,56,110
3-Insertions_4,281,1046
3-Insertions_5,1406,9695
4-FullIns_3,26,85
4-FullIns_4,58,296
4-FullIns_5,122,961
4-Insertions_3,79,156
4-Insertions_4,475,1795
5-FullIns_3,29,110
5-FullIns_4,65,380
abb313GPIA,853,15858
anna,67,298
ash331GPIA,661,4180
ash608GPIA,1215,7843
ash958GPIA,1915,12505
C2000.5,2000,999836
C2000.9,2000,1799532
C4000.5,4000,4000268
david,60,333
DSJC1000.1,1000,49629
DSJC1000.5,1000,249826
DSJC1000.9,1000,449449
DSJC125.1,125,736
DSJC125.1gb,125,736
DSJC125.1g,125,736
DSJC125.5,125,3891
DSJC125.5gb,125,3891
DSJC125.5g,125,3891
DSJC125.9,125,6961
DSJC125.9gb,125,6961
DSJC125.9g,125,6961
DSJC250.1,250,3218
DSJC250.5,250,15668
DSJC250.9,250,27897
DSJC500.1,500,12458
DSJC500.5,500,62624
DSJC500.9,500,112437
DSJR500.1c,289,40442
DSJR500.1,496,3523
DSJR500.5,497,58508
flat1000_50_0,1000,245000
flat1000_60_0,1000,245830
flat1000_76_0,1000,246708
flat300_20_0,300,21375
flat300_26_0,300,21633
flat300_28_0,300,21695
fpsol2.i.1,196,8048
fpsol2.i.2,226,5329
fpsol2.i.3,226,5329
games120,120,638
GEOM100a,97,957
GEOM100b,97,1030
GEOM100,97,530
GEOM110a,108,1182
GEOM110b,107,1234
GEOM110,107,619
GEOM120a,118,1406
GEOM120b,118,1477
GEOM120,117,754
GEOM20a,12,19
GEOM20b,15,25
GEOM20,17,19
GEOM30a,28,78
GEOM30b,25,68
GEOM30,21,36
GEOM40a,40,146
GEOM40b,37,147
GEOM40,34,67
GEOM50a,49,230
GEOM50b,47,240
GEOM50,47,121
GEOM60a,59,330
GEOM60b,57,350
GEOM60,58,182
GEOM70a,68,441
GEOM70b,65,454
GEOM70,68,264
GEOM80a,78,594
GEOM80b,75,624
GEOM80,79,346
GEOM90a,87,759
GEOM90b,88,847
GEOM90,86,420
homer,273,1231
huck,60,271
inithx.i.1,364,12957
inithx.i.2,352,8637
inithx.i.3,343,8398
jean,44,195
latin_square_10,900,307350
le450_15a,449,8166
le450_15b,446,8161
le450_15c,450,16680
le450_15d,450,16750
le450_25a,445,8246
le450_25b,447,8255
le450_25c,450,17343
le450_25d,450,17425
le450_5a,450,5714
le450_5b,450,5734
le450_5c,450,9803
le450_5d,450,9757
miles1000,124,3101
miles1500,121,4723
miles250,105,330
miles500,124,1131
miles750,119,1922
mug100_1,100,166
mug100_25,100,166
mug88_1,88,146
mug88_25,88,146
mulsol.i.1,103,2656
mulsol.i.2,109,2240
mulsol.i.3,109,2240
mulsol.i.4,111,2301
mulsol.i.5,110,2269
myciel3,11,20
myciel4,23,71
myciel5,47,236
myciel5gb,47,236
myciel5g,47,236
myciel6,95,755
myciel6gb,95,755
myciel6g,95,755
myciel7,191,2360
myciel7gb,191,2360
myciel7g,191,2360
p06,16,38
p07,24,92
p08,24,92
p09,25,100
p10,16,32
p11,18,48
p12,26,90
p13,34,160
p14,31,110
p15,34,136
p16,34,134
p17,37,161
p18,35,143
p19,36,156
p20,37,142
p21,38,155
p22,38,154
p23,44,204
p24,34,104
p25,36,120
p26,37,131
p27,44,174
p28,44,164
p29,53,254
p30,60,317
p31,47,179
p32,51,221
p33,56,258
p34,74,421
p35,86,566
p36,101,798
p38,87,537
p40,86,497
p41,116,900
p42,138,1186
qg.order100,10000,990000
qg.order30,900,26100
qg.order40,1600,62400
qg.order60,3600,212400
queen10_10,100,1470
queen10_10gb,100,1470
queen10_10g,100,1470
queen11_11,121,1980
queen11_11gb,121,1980
queen11_11g,121,1980
queen12_12,144,2596
queen12_12gb,144,2596
queen12_12g,144,2596
queen13_13,169,3328
queen14_14,196,4186
queen15_15,225,5180
queen16_16,256,6320
queen5_5,25,160
queen6_6,36,290
queen7_7,49,476
queen8_12,96,1368
queen8_8,64,728
queen8_8gb,64,728
queen8_8g,64,728
queen9_9,81,1056
queen9_9gb,81,1056
queen9_9g,81,1056
r01,144,1280
r02,142,1246
r03,139,1188
r04,151,1406
r05,142,1266
r06,148,1381
r07,141,1253
r08,138,1191
r09,129,1027
r1000.1c,686,227525
r1000.1,1000,14378
r1000.5,979,233334
R100_1gb,99,506
R100_1g,99,506
R100_5gb,100,2456
R100_5g,100,2456
R100_9gb,100,4438
R100_9g,100,4438
r10,150,1409
r11,208,2247
r125.1c,46,1035
r125.1,86,149
r125.5,124,3799
r12,199,2055
r13,217,2449
r14,214,2387
r15,198,2055
r16,188,1861
r17,213,2392
r18,200,2079
r19,185,1803
r20,217,2447
r21,281,3554
r22,285,3684
r23,288,3732
r24,269,3284
r250.1c,68,2270
r250.1,230,819
r250.5,246,14609
r25,266,3177
r26,284,3629
r27,259,3019
r28,288,3765
r29,281,3553
r30,301,4122
R50_1gb,46,102
R50_1g,46,102
R50_5gb,50,612
R50_5g,50,612
R50_9gb,50,1092
R50_9g,50,1092
R75_1gb,69,249
R75_1g,69,249
R75_5gb,75,1407
R75_5g,75,1407
R75_9gb,75,2513
R75_9g,75,2513
school1,371,18983
school1_nsh,341,14537
wap01a,2368,110871
wap02a,2464,111742
wap03a,4730,286722
wap04a,5231,294902
wap05a,903,43058
wap06a,945,43548
wap07a,1807,103308
wap08a,1869,104154
will199GPIA,660,5836
zeroin.i.1,95,2730
zeroin.i.2,101,2129
zeroin.i.3,101,2129
