instance,reduced,|V|,|E|,density
1-FullIns_3,false,30,100,0.23
1-FullIns_3,true,15,31,0.3
1-FullIns_4,false,93,593,0.14
1-FullIns_4,true,35,119,0.2
1-FullIns_5,false,282,3247,0.08
1-FullIns_5,true,75,403,0.15
1-Insertions_4,false,67,232,0.1
1-Insertions_4,true,67,232,0.1
1-Insertions_5,false,202,1227,0.06
1-Insertions_5,true,202,1227,0.06
1-Insertions_6,false,607,6337,0.03
1-Insertions_6,true,607,6337,0.03
2-FullIns_3,false,52,201,0.15
2-FullIns_3,true,9,22,0.61
2-FullIns_4,false,212,1621,0.07
2-FullIns_4,true,41,161,0.2
2-FullIns_5,false,852,12201,0.03
2-FullIns_5,true,89,545,0.14
2-Insertions_3,false,37,72,0.11
2-Insertions_3,true,37,72,0.11
2-Insertions_4,false,149,541,0.05
2-Insertions_4,true,149,541,0.05
2-Insertions_5,false,597,3936,0.02
2-Insertions_5,true,597,3936,0.02
3-FullIns_3,false,80,346,0.11
3-FullIns_3,true,11,35,0.64
3-FullIns_4,false,405,3524,0.04
3-FullIns_4,true,43,199,0.22
3-FullIns_5,false,2030,33751,0.02
3-FullIns_5,true,103,726,0.14
3-Insertions_3,false,56,110,0.07
3-Insertions_3,true,56,110,0.07
3-Insertions_4,false,281,1046,0.03
3-Insertions_4,true,281,1046,0.03
3-Insertions_5,false,1406,9695,0.01
3-Insertions_5,true,1406,9695,0.01
4-FullIns_3,false,114,541,0.08
4-FullIns_3,true,13,51,0.65
4-FullIns_4,false,690,6650,0.03
4-FullIns_4,true,37,216,0.32
4-FullIns_5,false,4146,77305,0.01
4-FullIns_5,true,113,926,0.15
4-Insertions_3,false,79,156,0.05
4-Insertions_3,true,79,156,0.05
4-Insertions_4,false,475,1795,0.02
4-Insertions_4,true,475,1795,0.02
5-FullIns_3,false,154,792,0.07
5-FullIns_3,true,15,70,0.67
5-FullIns_4,false,1085,11395,0.02
5-FullIns_4,true,43,294,0.33
abb313GPIA,false,1557,53356,0.04
abb313GPIA,true,853,15858,0.04
anna,false,138,493,0.05
anna,true,11,55,1.0
ash331GPIA,false,662,4181,0.02
ash331GPIA,true,661,4180,0.02
ash608GPIA,false,1216,7844,0.01
ash608GPIA,true,1215,7843,0.01
ash958GPIA,false,1916,12506,0.01
ash958GPIA,true,1915,12505,0.01
C2000.5,false,2000,999836,0.5
C2000.5,true,2000,999836,0.5
C2000.9,false,2000,1799532,0.9
C2000.9,true,2000,1799532,0.9
C4000.5,false,4000,4000268,0.5
C4000.5,true,4000,4000268,0.5
david,false,87,406,0.11
david,true,11,55,1.0
DSJC1000.1,false,1000,49629,0.1
DSJC1000.1,true,1000,49629,0.1
DSJC1000.5,false,1000,249826,0.5
DSJC1000.5,true,1000,249826,0.5
DSJC1000.9,false,1000,449449,0.9
DSJC1000.9,true,1000,449449,0.9
DSJC125.1,false,125,736,0.09
DSJC125.1,true,125,736,0.09
DSJC125.1gb,false,125,736,0.09
DSJC125.1gb,true,125,736,0.09
DSJC125.1g,false,125,736,0.09
DSJC125.1g,true,125,736,0.09
