instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
C2000.5,2000,999836,253.44,6.07,1.66,1,0,0,0
C2000.9,2000,1799532,5297.2,30.89,3.1,1,0,0,0
DSJC125.1gb,125,736,0.0,0.01,0.02,1,0,0,0
DSJC125.1g,125,736,0.0,0.01,0.0,1,0,0,0
DSJC125.5gb,125,3891,0.07,0.01,0.01,1,0,0,0
DSJC125.5g,125,3891,0.06,0.01,0.01,1,0,0,0
DSJC125.9gb,125,6961,1.04,0.03,0.02,1,0,0,0
DSJC125.9g,125,6961,0.95,0.03,0.01,1,0,0,0
DSJC250.1,250,3218,0.01,0.03,0.01,1,0,0,0
DSJC250.5,250,15668,0.46,0.06,0.02,1,0,0,0
DSJC250.9,250,27897,7.13,0.16,0.04,1,0,0,0
DSJC500.1,500,12458,0.08,0.11,0.02,1,0,0,0
DSJC500.5,500,62624,3.55,0.25,0.09,1,0,0,0
DSJC500.9,500,112437,71.25,0.95,0.16,1,0,0,0
DSJC1000.1,1000,49629,0.45,0.47,0.08,1,0,0,0
DSJC1000.5,1000,249826,29.66,1.16,0.4,1,0,0,0
DSJC1000.9,1000,449449,626.16,5.64,0.76,1,0,0,0
DSJR500.1,500,3555,0.05,0.13,0.01,1,0,80,80
flat1000_50_0,1000,245000,27.03,1.14,0.44,1,0,0,0
flat1000_60_0,1000,245830,28.03,1.18,0.43,1,0,0,0
flat1000_76_0,1000,246708,28.23,1.19,0.42,1,0,0,0
GEOM20a,20,37,0.0,0.0,0.0,1,0,9,9
GEOM20b,20,32,0.0,0.0,0.0,1,0,5,5
GEOM20,20,20,0.0,0.0,0.0,1,0,13,13
GEOM30a,30,81,0.0,0.0,0.0,1,0,6,6
GEOM30b,30,81,0.0,0.0,0.0,1,0,4,4
GEOM30,30,50,0.0,0.0,0.0,1,0,14,14
GEOM40a,40,146,0.0,0.0,0.0,1,0,7,7
GEOM40b,40,157,0.0,0.0,0.0,1,0,6,6
GEOM40,40,78,0.0,0.0,0.0,1,0,13,13
GEOM50a,50,238,0.0,0.0,0.0,1,0,9,9
GEOM50b,50,249,0.0,0.0,0.0,1,0,7,7
GEOM50,50,127,0.0,0.0,0.0,1,0,9,9
GEOM60a,60,339,0.0,0.0,0.0,1,0,8,8
GEOM60b,60,366,0.0,0.0,0.0,1,0,8,8
GEOM60,60,185,0.0,0.0,0.0,1,0,12,12
GEOM70a,70,459,0.01,0.0,0.0,1,0,8,8
GEOM70b,70,488,0.01,0.0,0.0,1,0,8,8
GEOM70,70,267,0.0,0.0,0.0,1,0,7,7
GEOM80a,80,612,0.01,0.0,0.0,1,0,6,6
