instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
1-FullIns_3,30,100,0.0,0.0,0.0,1,13,0,13
1-FullIns_4,93,593,0.0,0.0,0.0,1,56,0,56
1-FullIns_5,282,3247,0.02,0.02,0.0,1,205,0,205
1-Insertions_4,67,232,0.0,0.0,0.0,1,0,0,0
1-Insertions_5,202,1227,0.01,0.02,0.0,1,0,0,0
1-Insertions_6,607,6337,0.03,0.16,0.01,1,0,0,0
2-FullIns_3,52,201,0.0,0.0,0.0,1,18,0,18
2-FullIns_4,212,1621,0.01,0.01,0.0,1,106,0,106
2-FullIns_5,852,12201,0.08,0.16,0.01,1,530,0,530
2-Insertions_3,37,72,0.0,0.0,0.0,1,0,0,0
2-Insertions_4,149,541,0.0,0.01,0.0,1,0,0,0
2-Insertions_5,597,3936,0.02,0.14,0.01,1,0,0,0
3-FullIns_3,80,346,0.0,0.0,0.0,1,23,2,25
3-FullIns_4,405,3524,0.02,0.05,0.0,1,172,0,172
3-FullIns_5,2030,33751,0.31,0.9,0.04,1,1093,0,1093
3-Insertions_3,56,110,0.0,0.0,0.0,1,0,0,0
3-Insertions_4,281,1046,0.01,0.03,0.0,1,0,0,0
3-Insertions_5,1406,9695,0.09,0.8,0.03,1,0,0,0
4-FullIns_3,114,541,0.01,0.01,0.0,1,29,13,42
4-FullIns_4,690,6650,0.06,0.14,0.01,1,254,0,254
4-FullIns_5,4146,77305,0.96,4.08,0.11,1,1960,0,1960
4-Insertions_3,79,156,0.0,0.0,0.0,1,0,0,0
4-Insertions_4,475,1795,0.01,0.09,0.01,1,0,0,0
5-FullIns_3,154,792,0.0,0.01,0.0,1,34,43,77
5-FullIns_4,1085,11395,0.09,0.38,0.02,1,352,0,352
anna,138,493,0.01,0.0,0.0,1,70,43,113
david,87,406,0.01,0.0,0.0,1,30,32,62
homer,561,1628,0.03,0.04,0.0,1,274,218,492
huck,74,301,0.0,0.01,0.0,1,22,34,56
jean,80,254,0.0,0.0,0.0,1,28,30,58
games120,120,638,0.01,0.01,0.0,1,0,6,6
abb313GPIA,1557,53356,1.31,2.2,0.03,1,664,2,666
ash331GPIA,662,4181,0.03,0.19,0.01,1,1,0,1
ash608GPIA,1216,7844,0.06,0.63,0.02,1,1,0,1
ash958GPIA,1916,12506,0.16,1.58,0.03,1,1,0,1
will199GPIA,701,6772,0.06,0.24,0.01,1,41,0,41
C2000.5,2000,999836,278.03,130.44,1.71,1,0,0,0
C2000.9,2000,1799532,6355.69,523.01,3.01,1,0,0,0
C4000.5,4000,4000268,2283.99,1604.71,7.38,1,0,0,0
DSJC125.1,125,736,0.0,0.01,0.0,1,0,0,0
DSJC125.5,125,3891,0.08,0.02,0.01,1,0,0,0
DSJC125.9,125,6961,1.27,0.06,0.02,1,0,0,0
DSJC250.1,250,3218,0.02,0.04,0.01,1,0,0,0
DSJC250.5,250,15668,0.49,0.15,0.02,1,0,0,0
DSJC250.9,250,27897,9.17,0.33,0.04,1,0,0,0
DSJC500.1,500,12458,0.09,0.17,0.02,1,0,0,0
DSJC500.5,500,62624,3.84,1.0,0.09,1,0,0,0
DSJC500.9,500,112437,85.0,3.25,0.17,1,0,0,0
DSJC1000.1,1000,49629,0.48,0.94,0.08,1,0,0,0
DSJC1000.5,1000,249826,33.3,11.97,0.44,1,0,0,0
DSJC1000.9,1000,449449,719.33,40.29,0.72,1,0,0,0
