instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
1-FullIns_3,30,100,0.0,0.0,0.0,3,14,1,15
1-FullIns_4,93,593,0.0,0.01,0.0,3,57,1,58
1-FullIns_5,282,3247,0.02,0.06,0.0,3,206,1,207
1-Insertions_4,67,232,0.0,0.0,0.0,1,0,0,0
1-Insertions_5,202,1227,0.01,0.03,0.0,1,0,0,0
1-Insertions_6,607,6337,0.04,0.23,0.01,1,0,0,0
2-FullIns_3,52,201,0.0,0.0,0.0,5,33,10,43
2-FullIns_4,212,1621,0.01,0.03,0.0,4,169,2,171
2-FullIns_5,852,12201,0.09,0.32,0.01,4,761,2,763
2-Insertions_3,37,72,0.0,0.0,0.0,1,0,0,0
2-Insertions_4,149,541,0.0,0.01,0.0,1,0,0,0
2-Insertions_5,597,3936,0.03,0.18,0.01,1,0,0,0
3-FullIns_3,80,346,0.0,0.01,0.0,5,62,7,69
3-FullIns_4,405,3524,0.02,0.11,0.0,5,355,7,362
3-FullIns_5,2030,33751,0.4,1.89,0.02,5,1924,3,1927
3-Insertions_3,56,110,0.0,0.0,0.0,1,0,0,0
3-Insertions_4,281,1046,0.01,0.04,0.0,1,0,0,0
3-Insertions_5,1406,9695,0.11,1.0,0.02,1,0,0,0
4-FullIns_3,114,541,0.0,0.01,0.0,6,82,19,101
4-FullIns_4,690,6650,0.05,0.38,0.0,8,637,16,653
4-FullIns_5,4146,77305,1.22,8.47,0.08,6,4025,8,4033
4-Insertions_3,79,156,0.0,0.0,0.0,1,0,0,0
4-Insertions_4,475,1795,0.01,0.11,0.01,1,0,0,0
5-FullIns_3,154,792,0.0,0.02,0.0,7,87,52,139
5-FullIns_4,1085,11395,0.1,1.07,0.01,8,1023,19,1042
abb313GPIA,1557,53356,1.7,3.8,0.05,3,702,2,704
anna,138,493,0.01,0.0,0.0,4,77,50,127
ash331GPIA,662,4181,0.02,0.34,0.01,2,1,0,1
ash608GPIA,1216,7844,0.05,1.1,0.01,2,1,0,1
ash958GPIA,1916,12506,0.19,2.62,0.02,2,1,0,1
C2000.5,2000,999836,203.19,114.21,1.42,1,0,0,0
C2000.9,2000,1799532,4650.88,446.86,2.51,1,0,0,0
C4000.5,4000,4000268,1734.65,1298.68,5.83,1,0,0,0
david,87,406,0.0,0.0,0.0,4,38,38,76
DSJC1000.1,1000,49629,0.7,0.71,0.06,1,0,0,0
DSJC1000.5,1000,249826,23.1,8.63,0.32,1,0,0,0
DSJC1000.9,1000,449449,559.9,28.8,0.57,1,0,0,0
DSJC125.1,125,736,0.0,0.01,0.0,1,0,0,0
DSJC125.1gb,125,736,0.0,0.01,0.0,1,0,0,0
DSJC125.1g,125,736,0.0,0.01,0.0,1,0,0,0
DSJC125.5,125,3891,0.09,0.02,0.0,1,0,0,0
DSJC125.5gb,125,3891,0.06,0.02,0.0,1,0,0,0
DSJC125.5g,125,3891,0.06,0.02,0.0,1,0,0,0
DSJC125.9,125,6961,0.86,0.05,0.01,1,0,0,0
DSJC125.9gb,125,6961,0.89,0.05,0.01,1,0,0,0
DSJC125.9g,125,6961,0.88,0.05,0.01,1,0,0,0
DSJC250.1,250,3218,0.01,0.03,0.0,1,0,0,0
DSJC250.5,250,15668,0.35,0.13,0.03,1,0,0,0
DSJC250.9,250,27897,6.43,0.27,0.03,1,0,0,0
DSJC500.1,500,12458,0.07,0.13,0.02,1,0,0,0
DSJC500.5,500,62624,2.95,0.76,0.08,1,0,0,0
DSJC500.9,500,112437,60.76,2.36,0.15,1,0,0,0
DSJR500.1c,500,121275,249.11,2002.13,0.05,4,211,0,211
DSJR500.1,500,3555,0.05,0.36,0.0,13,78,410,488
DSJR500.5,500,58862,71.05,6.38,0.07,3,5,9,14
flat1000_50_0,1000,245000,21.53,8.34,0.32,1,0,0,0
flat1000_60_0,1000,245830,21.68,8.56,0.31,1,0,0,0
flat1000_76_0,1000,246708,21.96,8.54,0.32,1,0,0,0
flat300_20_0,300,21375,0.53,0.2,0.02,1,0,0,0
flat300_26_0,300,21633,0.53,0.2,0.02,1,0,0,0
flat300_28_0,300,21695,0.54,0.2,0.03,1,0,0,0
fpsol2.i.1,496,11654,3.07,6.05,0.01,4,80,351,431
fpsol2.i.2,451,8691,0.74,0.85,0.0,6,160,205,365
fpsol2.i.3,425,8688,0.73,0.82,0.0,6,161,178,339
games120,120,638,0.0,0.04,0.0,12,8,103,111
