instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
C2000.5,2000,999836,265.83,138.31,1.7,1,0,0,0
C2000.9,2000,1799532,5261.1,511.66,3.06,1,0,0,0
DSJC125.1gb,125,736,0.0,0.01,0.0,1,0,0,0
DSJC125.1g,125,736,0.0,0.01,0.0,1,0,0,0
DSJC125.5gb,125,3891,0.06,0.02,0.01,1,0,0,0
DSJC125.5g,125,3891,0.06,0.02,0.01,1,0,0,0
DSJC125.9gb,125,6961,1.01,0.06,0.01,1,0,0,0
DSJC125.9g,125,6961,1.06,0.06,0.01,1,0,0,0
DSJC250.1,250,3218,0.01,0.03,0.01,1,0,0,0
DSJC250.5,250,15668,0.41,0.15,0.02,1,0,0,0
DSJC250.9,250,27897,7.05,0.31,0.04,1,0,0,0
DSJC500.1,500,12458,0.09,0.15,0.02,1,0,0,0
DSJC500.5,500,62624,3.56,0.95,0.09,1,0,0,0
DSJC500.9,500,112437,71.35,3.15,0.16,1,0,0,0
DSJC1000.1,1000,49629,0.44,0.87,0.08,1,0,0,0
DSJC1000.5,1000,249826,29.13,10.26,0.37,1,0,0,0
DSJC1000.9,1000,449449,612.31,35.72,0.71,1,0,0,0
DSJR500.1,500,3555,0.08,0.82,0.0,10,22,234,256
flat1000_50_0,1000,245000,27.64,10.7,0.38,1,0,0,0
flat1000_60_0,1000,245830,27.4,10.74,0.38,1,0,0,0
flat1000_76_0,1000,246708,27.74,10.16,0.39,1,0,0,0
GEOM20a,20,37,0.0,0.0,0.0,3,3,11,14
GEOM20b,20,32,0.0,0.0,0.0,3,6,1,7
GEOM20,20,20,0.0,0.0,0.0,2,0,13,13
GEOM30a,30,81,0.0,0.0,0.0,4,4,6,10
GEOM30b,30,81,0.0,0.0,0.0,2,2,2,4
GEOM30,30,50,0.0,0.0,0.0,4,4,16,20
GEOM40a,40,146,0.0,0.0,0.0,6,3,20,23
GEOM40b,40,157,0.0,0.0,0.0,5,5,8,13
GEOM40,40,78,0.0,0.0,0.0,4,7,14,21
GEOM50a,50,238,0.0,0.01,0.0,6,5,17,22
GEOM50b,50,249,0.0,0.01,0.0,5,3,9,12
GEOM50,50,127,0.0,0.0,0.0,6,7,19,26
GEOM60a,60,339,0.0,0.01,0.0,5,3,13,16
GEOM60b,60,366,0.0,0.01,0.0,3,6,5,11
GEOM60,60,185,0.0,0.01,0.0,6,6,15,21
GEOM70a,70,459,0.01,0.01,0.0,5,1,16,17
GEOM70b,70,488,0.01,0.01,0.0,3,6,9,15
GEOM70,70,267,0.0,0.01,0.0,3,3,5,8
GEOM80a,80,612,0.01,0.02,0.0,4,2,7,9
GEOM80b,80,663,0.01,0.01,0.02,3,5,5,10
GEOM80,80,349,0.0,0.01,0.0,5,4,33,37
GEOM90a,90,789,0.01,0.02,0.0,3,2,2,4
GEOM90b,90,860,0.01,0.03,0.0,5,6,15,21
GEOM90,90,441,0.0,0.01,0.0,3,5,12,17
GEOM100a,100,992,0.02,0.02,0.0,2,1,0,1
GEOM100b,100,1050,0.02,0.02,0.0,3,5,7,12
GEOM100,100,547,0.01,0.03,0.0,6,3,22,25
GEOM110a,110,1207,0.02,0.01,0.0,1,0,0,0
GEOM110b,110,1256,0.02,0.05,0.0,5,5,15,20
GEOM110,110,638,0.01,0.04,0.0,6,7,16,23
GEOM120a,120,1434,0.03,0.03,0.0,2,1,0,1
GEOM120b,120,1491,0.03,0.04,0.0,3,4,6,10
GEOM120,120,773,0.01,0.03,0.0,4,8,12,20
inithx.i.1,864,18707,4.29,4.0,0.01,12,182,501,683
inithx.i.2,645,13979,1.61,1.26,0.01,6,238,197,435
inithx.i.3,621,13969,1.52,1.0,0.01,4,236,149,385
latin_square_10,900,307350,254.26,11.88,0.5,1,0,0,0
le450_15a,450,8168,0.14,0.56,0.01,3,2,28,30
le450_15b,450,8169,0.13,0.38,0.01,2,3,17,20
le450_15c,450,16680,0.31,0.29,0.02,1,0,0,0
le450_15d,450,16750,0.31,0.29,0.03,1,0,0,0
le450_25a,450,8260,0.28,0.57,0.01,3,10,94,104
le450_25b,450,8263,0.28,0.97,0.01,5,5,100,105
le450_25c,450,17343,0.68,0.74,0.03,2,0,10,10
le450_25d,450,17425,0.64,0.76,0.03,2,0,8,8
miles250,128,387,0.0,0.01,0.0,6,22,74,96
miles500,128,1170,0.03,0.04,0.0,6,13,67,80
miles1000,128,3216,0.38,0.13,0.0,4,4,31,35
miles1500,128,5198,1.61,0.43,0.01,4,8,27,35
mulsol.i.5,186,3973,0.32,0.12,0.0,4,60,22,82
myciel5gb,47,236,0.0,0.0,0.0,1,0,0,0
myciel5g,47,236,0.0,0.0,0.0,1,0,0,0
myciel6gb,95,755,0.0,0.0,0.0,1,0,0,0
myciel6g,95,755,0.0,0.0,0.0,1,0,0,0
myciel7gb,191,2360,0.01,0.02,0.0,1,0,0,0
myciel7g,191,2360,0.01,0.02,0.0,1,0,0,0
queen8_8gb,64,728,0.01,0.0,0.0,1,0,0,0
queen8_8g,64,728,0.01,0.0,0.0,1,0,0,0
queen9_9gb,81,1056,0.01,0.01,0.0,1,0,0,0
queen9_9g,81,1056,0.01,0.01,0.0,1,0,0,0
queen10_10,100,1470,0.02,0.01,0.0,1,0,0,0
queen10_10gb,100,1470,0.01,0.01,0.0,1,0,0,0
queen10_10g,100,1470,0.01,0.01,0.0,1,0,0,0
queen11_11,121,1980,0.02,0.01,0.0,1,0,0,0
queen11_11gb,121,1980,0.02,0.02,0.0,1,0,0,0
queen11_11g,121,1980,0.02,0.01,0.0,1,0,0,0
queen12_12,144,2596,0.03,0.02,0.0,1,0,0,0
queen12_12gb,144,2596,0.03,0.02,0.0,1,0,0,0
queen12_12g,144,2596,0.03,0.02,0.0,1,0,0,0
queen13_13,169,3328,0.05,0.03,0.01,1,0,0,0
queen14_14,196,4186,0.06,0.04,0.01,1,0,0,0
queen15_15,225,5180,0.08,0.06,0.01,1,0,0,0
queen16_16,256,6320,0.1,0.08,0.01,1,0,0,0
R50_1gb,50,108,0.0,0.0,0.0,2,4,4,8
R50_1g,50,108,0.0,0.0,0.0,3,4,4,8
R50_5gb,50,612,0.01,0.0,0.0,1,0,0,0
R50_5g,50,612,0.01,0.0,0.0,1,0,0,0
R50_9gb,50,1092,0.04,0.0,0.0,1,0,0,0
R50_9g,50,1092,0.05,0.01,0.0,1,0,0,0
R75_1gb,70,251,0.0,0.0,0.0,2,1,0,1
R75_1g,70,251,0.0,0.0,0.0,2,1,0,1
R75_5gb,75,1407,0.02,0.01,0.0,1,0,0,0
R75_5g,75,1407,0.02,0.01,0.0,1,0,0,0
R75_9gb,75,2513,0.18,0.01,0.0,1,0,0,0
R75_9g,75,2513,0.19,0.01,0.0,1,0,0,0
R100_1gb,100,509,0.0,0.01,0.0,2,1,0,1
R100_1g,100,509,0.0,0.01,0.0,2,1,1,2
R100_5gb,100,2456,0.03,0.01,0.0,1,0,0,0
R100_5g,100,2456,0.03,0.01,0.0,1,0,0,0
R100_9gb,100,4438,0.46,0.03,0.01,1,0,0,0
R100_9g,100,4438,0.45,0.03,0.01,1,0,0,0
wap01a,2368,110871,11.99,95.26,0.17,8,0,211,211
wap02a,2464,111742,12.25,90.65,0.17,7,0,249,249
wap03a,4730,286722,30.05,157.71,0.47,3,0,136,136
wap04a,5231,294902,28.81,288.85,0.46,5,0,321,321
wap05a,905,43081,4.81,7.78,0.05,3,2,79,81
wap06a,947,43571,4.73,9.14,0.06,4,2,87,89
wap07a,1809,103368,9.26,21.32,0.15,3,1,83,84
wap08a,1870,104176,9.61,23.19,0.17,3,2,83,85
zeroin.i.1,211,4100,0.7,0.21,0.0,4,28,102,130
zeroin.i.2,211,3541,0.25,0.08,0.0,3,52,59,111
zeroin.i.3,206,3540,0.25,0.12,0.0,4,52,59,111
p06,16,38,0.0,0.0,0.0,1,0,0,0
p07,24,92,0.0,0.0,0.0,1,0,0,0
p08,24,92,0.0,0.0,0.0,1,0,0,0
p09,25,100,0.0,0.0,0.0,1,0,0,0
p10,16,32,0.0,0.0,0.0,1,0,0,0
p11,18,48,0.0,0.0,0.0,1,0,0,0
p12,26,90,0.0,0.0,0.0,1,0,0,0
p13,34,160,0.0,0.0,0.0,1,0,0,0
p14,31,110,0.0,0.0,0.0,1,0,0,0
p15,34,136,0.0,0.0,0.0,1,0,0,0
p16,34,134,0.0,0.0,0.0,1,0,0,0
p17,37,161,0.0,0.0,0.0,1,0,0,0
p18,35,143,0.0,0.0,0.0,1,0,0,0
p19,36,156,0.0,0.0,0.0,1,0,0,0
p20,37,142,0.0,0.0,0.0,1,0,0,0
p21,38,155,0.0,0.0,0.0,2,0,1,1
p22,38,154,0.0,0.0,0.0,1,0,0,0
p23,44,204,0.0,0.0,0.0,1,0,0,0
p24,34,104,0.0,0.0,0.0,2,0,3,3
p25,36,120,0.0,0.0,0.0,3,0,3,3
p26,37,131,0.0,0.0,0.0,3,0,4,4
p27,44,174,0.0,0.0,0.0,1,0,0,0
p28,44,164,0.0,0.0,0.0,3,0,7,7
p29,53,254,0.0,0.0,0.0,5,2,37,39
p30,60,317,0.0,0.0,0.0,1,0,0,0
p31,47,179,0.0,0.0,0.0,7,3,35,38
p32,51,221,0.0,0.01,0.0,5,0,17,17
p33,56,258,0.0,0.0,0.0,3,0,2,2
p34,74,421,0.0,0.0,0.0,1,0,0,0
p35,86,566,0.0,0.01,0.0,2,0,3,3
p36,101,798,0.01,0.02,0.0,3,0,8,8
p38,87,537,0.0,0.01,0.0,3,0,2,2
p40,86,497,0.0,0.01,0.0,2,0,2,2
p41,116,900,0.01,0.02,0.0,2,0,1,1
p42,138,1186,0.01,0.04,0.0,3,0,3,3
r01,144,1280,0.02,0.01,0.0,1,0,0,0
r02,142,1246,0.01,0.01,0.0,1,0,0,0
r03,139,1188,0.01,0.02,0.0,1,0,0,0
r04,151,1406,0.02,0.02,0.0,1,0,0,0
r05,142,1266,0.01,0.03,0.0,2,0,1,1
r06,148,1381,0.02,0.03,0.0,2,0,1,1
r07,141,1253,0.02,0.03,0.0,2,0,3,3
r08,138,1191,0.01,0.01,0.0,1,0,0,0
r09,129,1027,0.01,0.02,0.0,2,0,1,1
r10,150,1409,0.02,0.03,0.0,2,0,1,1
r11,208,2247,0.03,0.04,0.0,1,0,0,0
r12,199,2055,0.02,0.03,0.01,1,0,0,0
r13,217,2449,0.03,0.04,0.0,1,0,0,0
r14,214,2387,0.03,0.04,0.0,1,0,0,0
r15,198,2055,0.02,0.03,0.0,1,0,0,0
r16,188,1861,0.02,0.05,0.0,2,0,2,2
r17,213,2392,0.03,0.04,0.0,1,0,0,0
r18,200,2079,0.02,0.03,0.0,1,0,0,0
r19,185,1803,0.02,0.02,0.0,1,0,0,0
r20,217,2447,0.03,0.04,0.0,1,0,0,0
r21,281,3554,0.05,0.06,0.01,1,0,0,0
r22,285,3684,0.06,0.07,0.01,1,0,0,0
r23,288,3732,0.05,0.07,0.01,1,0,0,0
r24,269,3284,0.04,0.06,0.01,1,0,0,0
r25,266,3177,0.05,0.06,0.01,1,0,0,0
r26,284,3629,0.06,0.07,0.01,1,0,0,0
r27,259,3019,0.04,0.05,0.0,1,0,0,0
r28,288,3765,0.06,0.07,0.01,1,0,0,0
r29,281,3553,0.05,0.07,0.01,1,0,0,0
r30,301,4122,0.07,0.08,0.01,1,0,0,0
