instance,nb_vertices,first_reduction,second_reduction
C2000.5,2000,0,0
C2000.9,2000,0,0
DSJC1000.1,1000,0,0
DSJC1000.5,1000,0,0
DSJC1000.9,1000,0,0
DSJC125.1g,125,0,0
DSJC125.1gb,125,0,0
DSJC125.5g,125,0,0
DSJC125.5gb,125,0,0
DSJC125.9g,125,0,0
DSJC125.9gb,125,0,0
DSJC250.1,250,0,0
DSJC250.5,250,0,0
DSJC250.9,250,0,0
DSJC500.1,500,0,0
DSJC500.5,500,0,0
DSJC500.9,500,0,0
DSJR500.1,500,0,4
GEOM100,100,0,3
GEOM100a,100,0,3
GEOM100b,100,0,3
GEOM110,110,0,3
GEOM110a,110,0,2
GEOM110b,110,0,3
GEOM120,120,0,3
GEOM120a,120,0,2
GEOM120b,120,0,2
GEOM20,20,2,1
GEOM20a,20,1,7
GEOM20b,20,0,5
GEOM30,30,0,9
GEOM30a,30,0,2
GEOM30b,30,0,5
GEOM40,40,1,5
GEOM40a,40,0,0
GEOM40b,40,0,3
GEOM50,50,1,2
GEOM50a,50,0,1
GEOM50b,50,0,3
GEOM60,60,0,2
GEOM60a,60,0,1
GEOM60b,60,0,3
GEOM70,70,0,2
GEOM70a,70,0,2
GEOM70b,70,0,5
GEOM80,80,0,1
GEOM80a,80,0,2
GEOM80b,80,0,5
GEOM90,90,0,4
GEOM90a,90,0,3
GEOM90b,90,0,2
R100_1g,100,0,1
R100_1gb,100,0,1
R100_5g,100,0,0
R100_5gb,100,0,0
R100_9g,100,0,0
R100_9gb,100,0,0
R50_1g,50,1,3
R50_1gb,50,1,3
R50_5g,50,0,0
R50_5gb,50,0,0
R50_9g,50,0,0
R50_9gb,50,0,0
R75_1g,70,0,1
R75_1gb,70,0,1
R75_5g,75,0,0
R75_5gb,75,0,0
R75_9g,75,0,0
R75_9gb,75,0,0
flat1000_50_0,1000,0,0
flat1000_60_0,1000,0,0
flat1000_76_0,1000,0,0
inithx.i.1,864,345,155
inithx.i.2,645,87,206
inithx.i.3,621,62,216
latin_square_10,900,0,0
le450_15a,450,0,1
le450_15b,450,0,4
le450_15c,450,0,0
le450_15d,450,0,0
le450_25a,450,0,5
le450_25b,450,0,3
le450_25c,450,0,0
le450_25d,450,0,0
miles1000,128,0,4
miles1500,128,0,7
miles250,128,3,20
miles500,128,0,4
mulsol.i.5,186,10,66
myciel5g,47,0,0
myciel5gb,47,0,0
myciel6g,95,0,0
myciel6gb,95,0,0
myciel7g,191,0,0
myciel7gb,191,0,0
p06,16,0,0
p07,24,0,0
p08,24,0,0
p09,25,0,0
p10,16,0,0
p11,18,0,0
p12,26,0,0
p13,34,0,0
p14,31,0,0
p15,34,0,0
p16,34,0,0
p17,37,0,0
p18,35,0,0
p19,36,0,0
p20,37,0,0
p21,38,0,0
p22,38,0,0
p23,44,0,0
p24,34,0,0
p25,36,0,0
p26,37,0,0
p27,44,0,0
p28,44,0,0
p29,53,0,0
p30,60,0,0
p31,47,0,0
p32,51,0,0
p33,56,0,0
p34,74,0,0
p35,86,0,0
p36,101,0,0
p38,87,0,0
p40,86,0,0
p41,116,0,0
p42,138,0,0
queen10_10,100,0,0
queen10_10g,100,0,0
queen10_10gb,100,0,0
queen11_11,121,0,0
queen11_11g,121,0,0
queen11_11gb,121,0,0
queen12_12,144,0,0
queen12_12g,144,0,0
queen12_12gb,144,0,0
queen13_13,169,0,0
queen14_14,196,0,0
queen15_15,225,0,0
queen16_16,256,0,0
queen8_8g,64,0,0
queen8_8gb,64,0,0
queen9_9g,81,0,0
queen9_9gb,81,0,0
r01,144,0,0
r02,142,0,0
r03,139,0,0
r04,151,0,0
r05,142,0,0
r06,148,0,0
r07,141,0,0
r08,138,0,0
r09,129,0,0
r10,150,0,0
r11,208,0,0
r12,199,0,0
r13,217,0,0
r14,214,0,0
r15,198,0,0
r16,188,0,0
r17,213,0,0
r18,200,0,0
r19,185,0,0
r20,217,0,0
r21,281,0,0
r22,285,0,0
r23,288,0,0
r24,269,0,0
r25,266,0,0
r26,284,0,0
r27,259,0,0
r28,288,0,0
r29,281,0,0
r30,301,0,0
wap01a,2368,0,0
wap02a,2464,0,0
wap03a,4730,0,0
wap04a,5231,0,0
wap05a,905,0,2
wap06a,947,0,2
wap07a,1809,0,2
wap08a,1870,0,1
zeroin.i.1,211,85,31
zeroin.i.2,211,54,56
zeroin.i.3,206,49,56
flat300_28_0,300,0,0
r1000.5,1000,0,21
