instance,nb_vertices,first_reduction,second_reduction
C2000.5,2000,0,0
C2000.9,2000,0,0
DSJC1000.1,1000,0,0
DSJC1000.5,1000,0,0
DSJC1000.9,1000,0,0
DSJC125.1g,125,0,0
DSJC125.1gb,125,0,0
DSJC125.5g,125,0,0
DSJC125.5gb,125,0,0
DSJC125.9g,125,0,0
DSJC125.9gb,125,0,0
DSJC250.1,250,0,0
DSJC250.5,250,0,0
DSJC250.9,250,0,0
DSJC500.1,500,0,0
DSJC500.5,500,0,0
DSJC500.9,500,0,0
DSJR500.1,500,186,8
GEOM100,100,5,0
GEOM100a,100,0,1
GEOM100b,100,7,3
GEOM110,110,5,3
GEOM110a,110,0,0
GEOM110b,110,8,0
GEOM120,120,13,5
GEOM120a,120,0,1
GEOM120b,120,3,0
GEOM20,20,12,0
GEOM20a,20,11,3
GEOM20b,20,3,1
GEOM30,30,18,1
GEOM30a,30,9,1
GEOM30b,30,2,1
GEOM40,40,17,4
GEOM40a,40,7,0
GEOM40b,40,2,1
GEOM50,50,13,5
GEOM50a,50,10,2
GEOM50b,50,3,1
GEOM60,60,8,5
GEOM60a,60,10,1
GEOM60b,60,3,3
GEOM70,70,2,1
GEOM70a,70,8,0
GEOM70b,70,0,0
GEOM80,80,29,4
GEOM80a,80,7,1
GEOM80b,80,5,1
GEOM90,90,13,2
GEOM90a,90,2,2
GEOM90b,90,1,1
R100_1g,100,1,0
R100_1gb,100,1,0
R100_5g,100,0,0
R100_5gb,100,0,0
R100_9g,100,0,0
R100_9gb,100,0,0
R50_1g,50,4,1
R50_1gb,50,5,2
R50_5g,50,0,0
R50_5gb,50,0,0
R50_9g,50,0,0
R50_9gb,50,0,0
R75_1g,70,1,0
R75_1gb,70,1,0
R75_5g,75,0,0
R75_5gb,75,0,0
R75_9g,75,0,0
R75_9gb,75,0,0
flat1000_50_0,1000,0,0
flat1000_60_0,1000,0,0
flat1000_76_0,1000,0,0
inithx.i.1,864,462,93
inithx.i.2,645,156,164
inithx.i.3,621,131,157
latin_square_10,900,0,0
le450_15a,450,25,0
le450_15b,450,20,0
le450_15c,450,0,0
le450_15d,450,0,0
le450_25a,450,92,0
le450_25b,450,97,0
le450_25c,450,9,0
le450_25d,450,7,0
miles1000,128,29,1
miles1500,128,22,5
miles250,128,81,9
miles500,128,65,4
mulsol.i.5,186,23,48
myciel5g,47,0,0
myciel5gb,47,0,0
myciel6g,95,0,0
myciel6gb,95,0,0
myciel7g,191,0,0
myciel7gb,191,0,0
p06,16,0,0
p07,24,0,0
p08,24,0,0
p09,25,0,0
p10,16,0,0
p11,18,0,0
p12,26,0,0
p13,34,0,0
p14,31,0,0
p15,34,0,0
p16,34,0,0
p17,37,0,0
p18,35,0,0
p19,36,0,0
p20,37,0,0
p21,38,1,0
p22,38,0,0
p23,44,0,0
p24,34,3,0
p25,36,3,0
p26,37,4,0
p27,44,0,0
p28,44,5,0
p29,53,39,0
p30,60,0,0
p31,47,25,0
p32,51,8,0
p33,56,2,0
p34,74,0,0
p35,86,2,0
p36,101,8,0
p38,87,1,0
p40,86,2,0
p41,116,1,0
p42,138,1,0
queen10_10,100,0,0
queen10_10g,100,0,0
queen10_10gb,100,0,0
queen11_11,121,0,0
queen11_11g,121,0,0
queen11_11gb,121,0,0
queen12_12,144,0,0
queen12_12g,144,0,0
queen12_12gb,144,0,0
queen13_13,169,0,0
queen14_14,196,0,0
queen15_15,225,0,0
queen16_16,256,0,0
queen8_8g,64,0,0
queen8_8gb,64,0,0
queen9_9g,81,0,0
queen9_9gb,81,0,0
r01,144,0,0
r02,142,0,0
r03,139,0,0
r04,151,0,0
r05,142,1,0
r06,148,1,0
r07,141,3,0
r08,138,0,0
r09,129,0,0
r10,150,1,0
r11,208,0,0
r12,199,0,0
r13,217,0,0
r14,214,0,0
r15,198,0,0
r16,188,2,0
r17,213,0,0
r18,200,0,0
r19,185,0,0
r20,217,0,0
r21,281,0,0
r22,285,0,0
r23,288,0,0
r24,269,0,0
r25,266,0,0
r26,284,0,0
r27,259,0,0
r28,288,0,0
r29,281,0,0
r30,301,0,0
wap01a,2368,162,0
wap02a,2464,177,0
wap03a,4730,97,0
wap04a,5231,258,0
wap05a,905,60,0
wap06a,947,62,0
wap07a,1809,73,1
wap08a,1870,69,0
zeroin.i.1,211,96,23
zeroin.i.2,211,64,41
zeroin.i.3,206,57,46
